Entity,Code,Year,Girls,Boys
Germany,DEU,1990,9.838617,11.144563
Germany,DEU,1991,10.014902,11.379433
Germany,DEU,1992,10.191188,11.614302
Germany,DEU,1993,10.367473,11.849172
Germany,DEU,1994,10.543758,12.084041
Germany,DEU,1995,10.720043,12.318911
Germany,DEU,1996,10.879653,12.57257
Germany,DEU,1997,11.039262,12.826229
Germany,DEU,1998,11.198872,13.079888
Germany,DEU,1999,11.358481,13.333548
Germany,DEU,2000,11.518091,13.587207
Germany,DEU,2001,11.963568,13.770405
Germany,DEU,2002,12.409045,13.953603
Germany,DEU,2003,12.854523,14.136802
Germany,DEU,2004,13.3,14.32
Germany,DEU,2005,13.2,14.24
Germany,DEU,2006,13.1,14.15
Germany,DEU,2007,13.19,14.21
Germany,DEU,2008,13.26,14.29
Germany,DEU,2009,13.35,14.34
Germany,DEU,2010,13.38,14.35
Germany,DEU,2011,13.5,14.39
Germany,DEU,2012,13.56,14.42
Germany,DEU,2013,13.62,14.42
Germany,DEU,2014,13.63,14.47
Germany,DEU,2015,13.7,14.49
Germany,DEU,2016,13.77,14.52
Germany,DEU,2017,13.785,14.440001
Germany,DEU,2018,13.8,14.36
Germany,DEU,2019,13.8949995,14.45
Germany,DEU,2020,13.99,14.54
Germany,DEU,2021,14.04878,14.550225
Germany,DEU,2022,14.04878,14.550225
Germany,DEU,2023,14.04878,14.550225
Iran,IRN,1990,4.604565,6.7577076
Iran,IRN,1991,4.9006786,7.019459
Iran,IRN,1992,5.196792,7.28121
Iran,IRN,1993,5.4929056,7.542961
Iran,IRN,1994,5.7890196,7.804712
Iran,IRN,1995,6.085133,8.066463
Iran,IRN,1996,6.4404693,8.250193
Iran,IRN,1997,6.7958055,8.433921
Iran,IRN,1998,7.1511416,8.61765
Iran,IRN,1999,7.506478,8.801379
Iran,IRN,2000,7.861814,8.985108
Iran,IRN,2001,8.116471,9.171354
Iran,IRN,2002,8.371129,9.3576
Iran,IRN,2003,8.625787,9.543846
Iran,IRN,2004,8.880445,9.730092
Iran,IRN,2005,9.135102,9.916338
Iran,IRN,2006,9.6,10.09
Iran,IRN,2007,9.4,9.820001
Iran,IRN,2008,9.2,9.55
Iran,IRN,2009,9.395,9.68
Iran,IRN,2010,9.59,9.81
Iran,IRN,2011,9.66,9.92
Iran,IRN,2012,9.73,10.03
Iran,IRN,2013,9.92,10.15
Iran,IRN,2014,10.02,10.2
Iran,IRN,2015,10.135,10.285
Iran,IRN,2016,10.25,10.37
Iran,IRN,2017,10.37234,10.462452
Iran,IRN,2018,10.4961405,10.555728
Iran,IRN,2019,10.621419,10.649837
Iran,IRN,2020,10.748192,10.726168
Iran,IRN,2021,10.876478,10.840576
Iran,IRN,2022,10.876478,10.840576
Iran,IRN,2023,10.876478,10.840576
Turkey,TUR,1990,3.2769325,5.637627
Turkey,TUR,1991,3.334527,5.742967
Turkey,TUR,1992,3.3921216,5.8483067
Turkey,TUR,1993,3.4497163,5.9536467
Turkey,TUR,1994,3.5073109,6.058986
Turkey,TUR,1995,3.5649054,6.164326
Turkey,TUR,1996,3.717829,6.2423553
Turkey,TUR,1997,3.8707523,6.320385
Turkey,TUR,1998,4.023676,6.398414
Turkey,TUR,1999,4.1765995,6.476444
Turkey,TUR,2000,4.329523,6.5544734
Turkey,TUR,2001,4.4546423,6.638355
Turkey,TUR,2002,4.5797615,6.7222366
Turkey,TUR,2003,4.7048807,6.806118
Turkey,TUR,2004,4.83,6.89
Turkey,TUR,2005,4.9,7.05
Turkey,TUR,2006,4.99,7.14
Turkey,TUR,2007,5.1,7.19
Turkey,TUR,2008,5.51,7.31
Turkey,TUR,2009,5.7,7.47
Turkey,TUR,2010,6.17,8.03
Turkey,TUR,2011,6.46,8.29
Turkey,TUR,2012,6.61,8.39
Turkey,TUR,2013,6.76,8.53
Turkey,TUR,2014,6.93,8.68
Turkey,TUR,2015,7.1,8.83
Turkey,TUR,2016,7.27,8.95
Turkey,TUR,2017,7.45,9.1
Turkey,TUR,2018,7.66,9.255
Turkey,TUR,2019,7.87,9.41
Turkey,TUR,2020,8.072789,9.563216
Turkey,TUR,2021,8.280805,9.718927
Turkey,TUR,2022,8.280805,9.718927
Turkey,TUR,2023,8.280805,9.718927
United States,USA,1990,12.87666,13.083339
United States,USA,1991,12.919995,13.135004
United States,USA,1992,12.96333,13.186669
United States,USA,1993,13.006665,13.159511
United States,USA,1994,13.05,13.31
United States,USA,1995,13.023,13.267
United States,USA,1996,12.996,13.224
United States,USA,1997,12.969,13.181001
United States,USA,1998,12.942,13.1380005
United States,USA,1999,12.915,13.095
United States,USA,2000,12.888,13.052
United States,USA,2001,12.861,13.009
United States,USA,2002,12.834,12.966001
United States,USA,2003,12.807,12.923
United States,USA,2004,12.78,12.88
United States,USA,2005,12.8,12.87
United States,USA,2006,12.879813,12.95025
United States,USA,2007,12.945,12.955
United States,USA,2008,12.98,13
United States,USA,2009,13.02,13
United States,USA,2010,13.06,13.04
United States,USA,2011,13.1,13.1
United States,USA,2012,13.14,13.15
United States,USA,2013,13.21,13.19
United States,USA,2014,13.25,13.2
United States,USA,2015,13.28,13.22
United States,USA,2016,13.38,13.3
United States,USA,2017,13.45487,13.36866
United States,USA,2018,13.53,13.47
United States,USA,2019,13.634999,13.545
United States,USA,2020,13.74,13.62
United States,USA,2021,13.65357,13.49329
United States,USA,2022,14,13.82
United States,USA,2023,14,13.82
